county_fips_code,mcsa,flfpr_20to64,flfpr_20to64_6to17,flfpr_20to64_under6,flfpr_20to64_under6_6to17,pr_f,mhi_2018,one_race,one_race_a,one_race_b,one_race_h,one_race_i,one_race_other,one_race_w,two_races,hispanic,households,h_6to17_both_work,h_6to17_fwork,h_6to17_mwork,h_6to17_single_m
37073,96.892,70.45545454545454,75.59181818181818,73.69181818181818,74.05818181818182,12.487272727272726,52468.43090909091,98.61272727272727,0.2927272727272727,34.15181818181818,0,0.4718181818181818,0.5918181818181818,63.129999999999995,1.3872727272727272,1.260909090909091,4369.454545454545,732.3636363636364,332.3636363636364,23.363636363636363,509.8181818181818
37039,89.46,62.48,69.30727272727273,67.02272727272727,58.805454545454545,11.827272727272728,40064.72909090909,97.89090909090909,0.5363636363636364,1.2818181818181817,0,1.6,0.9909090909090909,93.51818181818182,2.1090909090909093,2.5,11110.818181818182,1523.909090909091,560.2727272727273,300.3636363636364,676.9090909090909
37051,114.068,69.44545454545454,75.68272727272728,61.67272727272727,65.12636363636364,14.136363636363637,48544.37272727273,94.53636363636363,2.309090909090909,36.03636363636364,0.2818181818181818,1.2,2.7,51.99090909090909,5.463636363636364,9.527272727272727,120719.90909090909,16462.090909090908,8938.181818181818,1456.8181818181818,18878.727272727272
37005,90.41,63.03090909090909,78.45272727272727,55.31909090909091,83.55818181818182,15.742727272727272,37770.09454545454,98.56636363636363,0.31727272727272726,1.46,0.01818181818181818,0.8563636363636363,5.234545454545454,90.68181818181819,1.4336363636363636,10.118181818181819,4795,589.1818181818181,227.45454545454544,59,280.45454545454544
37081,117.478,74.04545454545455,78.58181818181818,70.66363636363637,65.36727272727273,12.145454545454546,50933.19545454546,98.06363636363636,4.163636363636364,32.67272727272727,0.05454545454545455,0.4818181818181818,2.881818181818182,57.809090909090905,1.9363636363636365,7.072727272727272,195181.45454545456,29112.363636363636,12233.09090909091,1552.7272727272727,24446.272727272728
37053,121.44200000000001,72.12727272727273,84.11,66.94545454545454,54.18363636363636,6.418181818181818,64396.49636363636,97.9,0.4727272727272727,6.363636363636363,0,0.32727272727272727,0.4818181818181818,90.23636363636363,2.1,3.109090909090909,9404.454545454546,1978.909090909091,670.9090909090909,123.9090909090909,657.1818181818181
37071,100.554,71,78.29818181818182,74.22727272727273,70.09181818181818,12.790909090909091,47787.62090909091,98.17272727272727,1.3272727272727272,15.081818181818182,0.05454545454545455,0.4272727272727273,3.4909090909090907,77.80909090909091,1.8272727272727274,6.027272727272727,78992.45454545454,13151.181818181818,4698.727272727273,810.2727272727273,9383
37009,92.74,69.60909090909091,78.69909090909091,60.92727272727273,67.56,12.99090909090909,39957.296363636364,98.97,0.3427272727272727,0.5472727272727272,0.01818181818181818,0.46,2.810909090909091,94.81818181818181,1.03,4.616363636363636,11728.727272727272,1616.2727272727273,591.8181818181819,73.72727272727273,632.6363636363636
37067,115.37,72.47272727272727,79.14090909090909,70.05454545454546,65.55636363636364,12.727272727272727,51060.48818181818,98.30909090909091,1.9272727272727272,25.918181818181818,0.06363636363636364,0.24545454545454545,4.5181818181818185,65.65454545454546,1.690909090909091,11.709090909090909,140584.72727272726,22834.81818181818,9295.818181818182,1248.8181818181818,16550
37173,90.034,62.13636363636364,80.65272727272728,58.29545454545455,65.98363636363636,16.445454545454545,39153.604545454546,95.89636363636363,0.5309090909090909,1.4445454545454546,0,26.50090909090909,1.1663636363636363,66.24363636363637,4.1036363636363635,3.5881818181818184,5482.090909090909,775.5454545454545,273.8181818181818,123.18181818181819,538.2727272727273
37115,97.334,65.47272727272727,71.60818181818182,61.845454545454544,60.96,11.809090909090909,42568.75363636364,99.12727272727273,0.509090909090909,1.5545454545454545,0,0.4818181818181818,0.5272727272727272,96.08181818181818,0.8727272727272728,2.0454545454545454,8248.90909090909,1026.8181818181818,632.2727272727273,47.18181818181818,626.8181818181819
37083,91.294,67,79.27363636363636,78.95454545454545,70.78909090909092,20.37272727272727,34604.950909090905,97.1,0.7090909090909091,51.97272727272727,0.00909090909090909,3.3636363636363638,0.6818181818181819,40.36363636363637,2.9,2.209090909090909,21456.636363636364,2646.4545454545455,815.4545454545455,218.36363636363637,3453.4545454545455
37185,94.94,62.21636363636364,79.89818181818181,65.71454545454546,54.96818181818182,17.21090909090909,35968.94818181818,97.52818181818182,0.4890909090909091,51.56727272727273,0,4.5645454545454545,1.81,39.09727272727273,2.4718181818181817,3.4163636363636365,7790,838.1818181818181,299.09090909090907,137.36363636363637,983.8181818181819
37059,113.774,73.08181818181818,79.41,76.71818181818182,67.25363636363636,8.281818181818181,56267.61363636364,98.64545454545454,0.5,6.509090909090909,0.045454545454545456,0.24545454545454545,2.809090909090909,88.52727272727273,1.3545454545454545,6.236363636363636,15854.454545454546,3096.3636363636365,1394.8181818181818,301.1818181818182,1206.909090909091
37085,102.92399999999999,67.2090909090909,72.549090909090907,60.60909090909091,60.091818181818184,13.081818181818182,49317.413636363635,96.50909090909092,1.0454545454545454,21.045454545454547,0.07272727272727272,0.8454545454545455,4.954545454545454,68.51818181818182,3.4909090909090907,10.772727272727273,41465.454545454544,7849.909090909091,4606.727272727273,498,5540.727272727273
37029,125.26,72.58181818181818,79.90545454545455,73.69181818181818,74.92727272727272,6.052727272727273,65870.98272727273,99.03727272727272,1.7290909090909092,14.544545454545455,0,0.42727272727272725,0.4181818181818182,81.88272727272727,0.9627272727272728,2.07,3618.818181818182,753.8181818181819,379.3636363636364,114.63636363636364,400.27272727272725
37043,90.082,65.71272727272728,95.47545454545454,63.67545454545455,37.96090909090909,13.593636363636364,39977.28363636364,99.61272727272727,0.07363636363636364,1.310909090909091,0.045454545454545456,0.21,0.9463636363636364,97,0.38727272727272727,2.4563636363636365,4597.272727272727,532.2727272727273,257.09090909090907,95.9090909090909,229.8181818181818
