id,property_type,prop_type_simp,number_of_reviews,review_scores_rating,cleaning_fee,price,price_3_nights
24082115,Apartment,Apartment,122,95,45,99,342
24084446,Townhouse,Townhouse,50,97,245,560,1925
24086570,House,House,5,100,150,75,375
24094071,House,House,86,97,75,149,522
24099332,Bungalow,Other,24,100,150,199,747
24109287,Condominium,Condominium,4,85,226,204,838
24120972,Condominium,Condominium,1,100,90,200,690
24136182,Guest suite,Other,55,85,8,45,143
24148022,Condominium,Condominium,91,95,65,75,290
24159620,Condominium,Condominium,100,93,65,95,350
24162363,House,House,99,99,0,65,195
24175467,Apartment,Apartment,146,89,65,175,590
24177810,Condominium,Condominium,123,100,95,89,362
24186803,Apartment,Apartment,94,93,105,108,429
24192163,Townhouse,Townhouse,7,100,307,138,721
24192164,Condominium,Condominium,5,88,297,212,933
24195451,Camper/RV,Other,61,99,50,55,215
24211201,Apartment,Apartment,122,97,50,99,347
24221163,Condominium,Condominium,154,96,35,94,317
24225496,House,House,10,98,250,350,1300
24227913,House,House,72,93,164,99,461
24242695,Apartment,Apartment,5,60,89,999,3086
24242819,Condominium,Condominium,40,98,85,249,832
24245365,House,House,42,94,130,100,430
24245679,House,House,75,97,60,100,360
24246119,House,House,12,96,140,219,797
24246244,House,House,42,100,40,90,310
24246989,Apartment,Apartment,92,86,65,35,170
24249762,Townhouse,Townhouse,15,99,175,196,763
24250323,Townhouse,Townhouse,20,100,175,199,772
24251693,House,House,77,97,120,159,597
24268565,House,House,45,98,10,45,145
24280277,House,House,97,99,150,99,447
24281604,Apartment,Apartment,9,98,20,175,545
24310106,House,House,65,97,125,299,1022
24328999,Condominium,Condominium,41,98,100,140,520
24336735,Apartment,Apartment,16,99,30,148,474
24347645,House,House,112,96,5,45,140
24349889,House,House,17,79,135,75,360
24355872,House,House,49,99,299,199,896
24356038,Townhouse,Townhouse,80,99,375,399,1572
24356294,Guesthouse,Other,25,99,45,89,312
24370908,House,House,4,70,150,96,438
24378118,Loft,Other,50,99,80,199,677
24391563,Bed and breakfast,Other,27,99,35,99,332
24394672,Bed and breakfast,Other,16,99,35,119,392
24395189,Bed and breakfast,Other,15,97,35,109,362
24396244,House,House,40,99,100,200,700
24401952,House,House,4,100,313,212,949
24406332,Apartment,Apartment,19,100,100,170,610
24419377,House,House,146,99,100,150,550
24427382,Townhouse,Townhouse,51,100,200,249,947
24428600,House,House,90,99,75,130,465
24430726,House,House,1,100,75,250,825
24444392,House,House,65,95,125,149,572
24450377,Apartment,Apartment,131,93,70,125,445
24451220,Guesthouse,Other,104,99,35,120,395
24464614,Guest suite,Other,83,100,65,100,365
24470767,House,House,22,96,250,900,2950
24476449,Apartment,Apartment,66,97,70,151,523
24476631,Apartment,Apartment,64,97,70,156,538
24476779,Apartment,Apartment,80,98,70,144,502
24476891,Apartment,Apartment,83,97,70,146,508
24488003,Guest suite,Other,32,99,80,500,1580
24491196,House,House,18,99,250,999,3247
24491267,House,House,55,100,100,299,997
24493768,House,House,50,98,70,150,520
24494438,House,House,33,97,110,109,437
24494532,House,House,41,96,110,109,437
24494613,House,House,36,98,225,249,972
24494851,House,House,15,93,40,153,499
24497622,Townhouse,Townhouse,94,99,175,125,550
24497645,House,House,44,100,150,250,900
24514274,House,House,39,100,0,50,150
24514365,Loft,Other,88,98,90,205,705
24515023,Loft,Other,83,97,90,205,705
24524708,Apartment,Apartment,75,96,115,106,433
24525103,Condominium,Condominium,71,96,65,75,290
24543047,Condominium,Condominium,161,98,79,129,466
24543238,Townhouse,Townhouse,14,99,50,117,401
24544069,Apartment,Apartment,34,100,50,115,395
24555185,Apartment,Apartment,55,86,60,74,282
24574665,House,House,34,97,75,80,315
24578571,House,House,54,98,170,249,917
24578894,Condominium,Condominium,10,98,99,299,996
24579103,House,House,2,100,100,130,490
24579448,Condominium,Condominium,33,99,80,165,575
24580553,Townhouse,Townhouse,57,100,179,129,566
24593193,Townhouse,Townhouse,38,93,300,250,1050
24595844,House,House,49,98,165,350,1215
24625701,House,House,27,97,50,50,200
24627334,House,House,31,99,50,51,203
24627471,House,House,50,93,224,99,521
24628812,House,House,16,98,50,55,215
24630758,Guest suite,Other,65,99,55,120,415
24645873,House,House,14,97,500,625,2375
24648152,Apartment,Apartment,2,100,65,86,323
24650950,Apartment,Apartment,26,100,50,200,650
24652660,House,House,1,100,660,349,1707
24653220,Cottage,Other,40,100,50,98,344
24658545,Apartment,Apartment,97,98,75,188,639
24667605,House,House,72,97,120,250,870
24676429,House,House,7,100,150,209,777
24688509,Condominium,Condominium,79,97,80,150,530
24694751,Cottage,Other,40,94,50,29,137
24697740,House,House,51,98,150,456,1518
24714412,House,House,1,100,90,50,240
24714723,House,House,6,100,53,470,1463
24715542,House,House,18,100,195,249,942
24719212,Guest suite,Other,54,92,75,79,312
24731425,House,House,60,99,175,168,679
24734366,House,House,53,99,150,280,990
24737740,Guest suite,Other,158,95,49,199,646
24738411,Townhouse,Townhouse,11,100,225,297,1116
24749438,House,House,85,99,15,99,312
24751814,Apartment,Apartment,63,92,110,164,602
24753664,Guesthouse,Other,81,99,50,119,407
24759638,House,House,76,95,95,103,404
24769199,Guest suite,Other,86,97,25,89,292
24769386,House,House,30,97,250,949,3097
24774210,Townhouse,Townhouse,31,98,220,650,2170
24777998,Apartment,Apartment,121,95,45,120,405
24780330,Townhouse,Townhouse,34,99,180,200,780
24780816,House,House,3,87,0,28,84
24781691,Condominium,Condominium,8,98,99,299,996
24798708,Townhouse,Townhouse,55,99,199,799,2596
24798795,Cottage,Other,112,99,80,109,407
24805830,House,House,59,99,56,150,506
24819120,Apartment,Apartment,93,97,70,125,445
24819213,Apartment,Apartment,91,95,75,188,639
24819703,Apartment,Apartment,83,94,70,100,370
24824262,Apartment,Apartment,88,96,70,99,367
24824545,Apartment,Apartment,95,97,70,92,346
24854427,Camper/RV,Other,17,99,55,35,160
24866115,Guest suite,Other,62,97,125,103,434
24869290,Guest suite,Other,38,99,100,169,607
24872529,Apartment,Apartment,126,95,45,110,375
24887262,House,House,29,95,125,75,350
24888982,Apartment,Apartment,85,95,70,102,376
24916080,House,House,65,100,80,180,620
24940929,Guest suite,Other,102,99,55,99,352
24941326,Townhouse,Townhouse,36,89,164,99,461
24941615,House,House,121,98,50,67,251
24945661,Townhouse,Townhouse,41,99,220,412,1456
24963397,House,House,74,95,145,250,895
24964599,Cottage,Other,75,99,75,125,450
24966416,Condominium,Condominium,2,90,164,83,413
24977521,Condominium,Condominium,159,98,89,199,686
24988157,Townhouse,Townhouse,85,95,135,85,390
24988585,Apartment,Apartment,102,97,85,98,379
24990479,House,House,59,99,175,127,556
24993097,House,House,44,98,65,75,290
24993316,House,House,21,99,30,100,330
25007949,House,House,24,100,300,500,1800
25008716,House,House,4,100,125,247,866
25008814,Apartment,Apartment,68,96,115,140,535
25010654,House,House,160,97,90,148,534
25034256,Apartment,Apartment,19,97,60,95,345
25043252,Townhouse,Townhouse,11,95,297,106,615
25058440,Guest suite,Other,47,100,75,100,375
25058728,Apartment,Apartment,25,98,40,175,565
25067459,Bungalow,Other,80,95,50,91,323
25073124,House,House,14,99,0,160,480
25076538,Loft,Other,81,97,90,205,705
25080850,House,House,2,80,40,219,697
25084420,House,House,52,98,150,135,555
25084713,House,House,58,99,125,185,680
25086083,House,House,75,100,150,259,927
25100504,House,House,2,100,75,169,582
25101346,Apartment,Apartment,67,96,75,150,525
25107922,Apartment,Apartment,89,97,45,122,411
25124851,House,House,58,100,250,249,997
25127844,Townhouse,Townhouse,21,100,45,56,213
25129990,Apartment,Apartment,87,98,104,87,365
25157325,House,House,72,98,120,199,717
25158252,Guest suite,Other,22,94,55,90,325
25184993,Apartment,Apartment,59,100,40,99,337
25188928,House,House,15,94,60,150,510
25202319,Condominium,Condominium,54,96,76,130,466
25202811,Condominium,Condominium,6,100,50,40,170
25205880,House,House,31,99,150,227,831
25206397,Cottage,Other,126,99,65,85,320
25206528,Loft,Other,4,100,125,327,1106
25225146,Apartment,Apartment,42,97,49,53,208
25225859,Cottage,Other,37,99,50,118,404
25252944,House,House,3,100,100,500,1600
25258244,Guesthouse,Other,141,100,50,86,308
25259524,House,House,54,94,299,149,746
25263781,Townhouse,Townhouse,66,97,120,199,717
25281804,Townhouse,Townhouse,58,94,120,199,717
25282936,Condominium,Condominium,55,92,120,229,807
25283212,Condominium,Condominium,52,96,120,229,807
25284709,House,House,47,92,80,86,338
25288863,Guest suite,Other,154,98,30,89,297
25296245,Condominium,Condominium,29,95,120,229,807
25296420,Condominium,Condominium,40,89,120,229,807
25296461,House,House,20,100,89,150,539
25296626,Condominium,Condominium,23,87,120,229,807
25296799,Condominium,Condominium,69,95,120,229,807
25296937,Condominium,Condominium,47,98,120,229,807
25297160,Condominium,Condominium,56,93,120,229,807
25297393,Condominium,Condominium,62,94,120,229,807
25297676,Condominium,Condominium,31,96,120,229,807
25297827,Condominium,Condominium,22,95,120,229,807
25310248,Guest suite,Other,83,100,50,95,335
25311712,Condominium,Condominium,47,96,120,229,807
25323958,Bungalow,Other,165,96,60,150,510
25341877,House,House,47,99,99,93,378
25346886,House,House,33,100,285,500,1785
25352294,House,House,11,100,125,140,545
25352598,Townhouse,Townhouse,54,94,120,199,717
25352613,Townhouse,Townhouse,58,94,120,199,717
25352624,Townhouse,Townhouse,23,91,120,199,717
25374804,House,House,31,96,90,100,390
25374952,House,House,149,99,125,115,470
25376045,House,House,68,99,30,50,180
25377496,Guest suite,Other,32,99,75,103,384
25404152,Townhouse,Townhouse,71,100,299,249,1046
25407300,Guest suite,Other,65,100,60,85,315
25419482,Condominium,Condominium,77,99,100,184,652
25422274,Condominium,Condominium,111,92,65,69,272
25429375,House,House,1,100,100,92,376
25450858,House,House,89,93,14,35,119
25451628,House,House,83,94,14,28,98
25451893,House,House,25,93,0,82,246
25458410,House,House,48,90,55,178,589
25473443,House,House,33,95,291,199,888
25475038,Apartment,Apartment,116,97,10,51,163
25475408,Condominium,Condominium,3,100,150,94,432
25476344,House,House,45,93,269,199,866
25489768,House,House,105,97,50,100,350
25508357,House,House,54,95,299,127,680
25516000,Apartment,Apartment,12,98,125,160,605
25517163,House,House,30,98,150,109,477
25517496,House,House,6,100,75,239,792
25532363,House,House,67,100,125,249,872
25542654,Apartment,Apartment,62,96,70,145,505
25544033,Townhouse,Townhouse,49,100,15,45,150
25544953,House,House,46,94,125,149,572
25554867,Townhouse,Townhouse,52,99,115,159,592
25564279,Guesthouse,Other,47,100,85,119,442
25576312,Apartment,Apartment,85,94,70,66,268
25579422,House,House,21,90,40,50,190
25581088,Condominium,Condominium,8,90,30,70,240
25582636,Apartment,Apartment,76,96,70,83,319
25584035,Apartment,Apartment,91,94,65,57,236
25584803,Apartment,Apartment,79,94,70,73,289
25585177,Apartment,Apartment,97,95,70,44,202
25585503,Apartment,Apartment,100,92,65,55,230
25585672,Apartment,Apartment,98,89,65,54,227
25585818,Apartment,Apartment,95,93,65,58,239
25586784,House,House,75,95,100,78,334
25588588,House,House,61,90,100,62,286
25595576,Townhouse,Townhouse,63,97,125,249,872
25605796,House,House,112,94,50,85,305
25618468,House,House,97,99,99,199,696
25618539,House,House,69,97,180,299,1077
25687238,House,House,17,100,25,80,265
25715035,Apartment,Apartment,65,98,90,122,456
25715137,House,House,1,100,75,250,825
25715772,House,House,51,88,164,99,461
25715824,Apartment,Apartment,74,96,70,99,367
25716533,Apartment,Apartment,58,96,115,165,610
25718304,Apartment,Apartment,65,92,105,155,570
25723177,House,House,89,96,165,500,1665
25728611,House,House,7,100,100,200,700
25735663,Bungalow,Other,52,100,159,299,1056
25737143,House,House,15,94,80,200,680
25737898,Loft,Other,16,93,75,205,690
